UF;Passengers rate;HDI 2017;HDI Education 2017;HDI Wealth 2017;HDI Health 2017;HDI 2010;HDI Education 2010;HDI Wealth 2010;HDI Health 2010;HDI 2000;HDI Education 2000;HDI Wealth 2000;HDI Health 2000;HDI 1991;HDI Education 1991;HDI Wealth 1991;HDI Health 1991;ICU beds;Public beds;Private beds;Public beds per citizen;Private beds per citizen;State;Capital;Region;Area;Population;Demographic Density;Cities count;GDP;GDP rate;Poverty;Latitude;Longitude
AC;0,005570;0,719;0,682;0,664;0,821;0,663;0,559;0,671;0,777;0,517;0,325;0,612;0,694;0,402;0,176;0,574;0,645;75;59;16;0,67;0,18;Acre;Rio Branco;North;164123,738;881935;5,37;22;17201,95;0,5;0,189;-8,77;-70,55
AL;0,010443;0,683;0,636;0,639;0,783;0,631;0,520;0,641;0,755;0,471;0,282;0,574;0,647;0,370;0,174;0,527;0,552;491;292;199;0,87;0,60;Alagoas;Maceió;Northeast;27843,295;3337357;119,86;102;15653,51;0,5;0,205;-9,62;-36,82
AM;0,014798;0,733;0,735;0,682;0,786;0,674;0,561;0,677;0,805;0,515;0,324;0,608;0,692;0,430;0,204;0,605;0,645;502;321;181;0,77;0,44;Amazonas;Manaus;North;1559168,117;4144597;2,66;62;22936,28;0,7;0,193;-3,47;-65,10
AP;0,005570;0,740;0,710;0,695;0,820;0,708;0,629;0,694;0,813;0,577;0,424;0,638;0,711;0,472;0,254;0,620;0,668;82;26;56;0,31;0,66;Amapá;Macapá;North;142470,762;845731;5,94;16;19405,11;0,6;0,128;1,41;-51,77
BA;0,045933;0,714;0,654;0,685;0,812;0,660;0,555;0,663;0,783;0,512;0,332;0,594;0,680;0,386;0,182;0,543;0,582;2029;988;1041;0,66;0,70;Bahia;Salvador;Northeast;564722,611;14873064;26,34;417;17508,67;0,6;0,177;-13,29;-41,71
CE;0,035295;0,735;0,717;0,676;0,818;0,682;0,615;0,651;0,793;0,541;0,377;0,588;0,713;0,405;0,204;0,532;0,613;1201;690;511;0,76;0,56;Ceará;Fortaleza;Northeast;148894,757;9132078;61,33;184;16394,99;0,5;0,184;-5,20;-39,53
DF;0,082512;0,850;0,804;0,859;0,890;0,824;0,742;0,863;0,873;0,725;0,582;0,805;0,814;0,616;0,419;0,762;0,731;1031;270;761;0,90;2,52;Distrito Federal;Brasília;Center-west;5760,783;3015268;523,41;1;80502,47;2,5;0,019;-15,83;-47,86
ES;0,016148;0,772;0,732;0,740;0,850;0,740;0,653;0,743;0,835;0,640;0,491;0,687;0,777;0,505;0,304;0,619;0,686;1091;478;613;1,19;1,53;Espírito Santo;Vitória;Southeast;46074,444;4018650;87,22;78;28222,56;0,9;0,043;-19,19;-40,34
GO;0,015509;0,769;0,740;0,747;0,822;0,735;0,646;0,742;0,827;0,615;0,439;0,686;0,773;0,487;0,273;0,633;0,668;1409;751;658;1,07;0,94;Goiás;Goiânia;Center-west;340125,715;7018354;20,63;246;28308,77;0,9;0,037;-15,98;-49,86
MA;0,008065;0,687;0,682;0,623;0,764;0,639;0,562;0,612;0,757;0,476;0,312;0,531;0,649;0,357;0,173;0,478;0,551;787;410;377;0,58;0,53;Maranhão;São Luís;Northeast;329642,170;7075181;21,46;217;12788,75;0,4;0,263;-5,42;-45,44
MG;0,059061;0,787;0,753;0,741;0,875;0,731;0,638;0,730;0,838;0,624;0,470;0,680;0,759;0,478;0,257;0,618;0,689;4341;2742;1599;1,30;0,76;Minas Gerais;Belo Horizonte;Southeast;586521,121;21168791;36,09;853;27282,75;0,9;0,047;-18,10;-44,38
MS;0,007458;0,766;0,710;0,748;0,847;0,729;0,629;0,740;0,833;0,613;0,445;0,687;0,752;0,488;0,259;0,641;0,699;484;254;230;0,91;0,83;Mato Grosso do Sul;Campo Grande;Center-west;357145,535;2778986;7,78;79;35520,45;1,1;0,050;-20,51;-54,54
