estado_sigla,data_da_coleta,valor_de_venda,valor_de_compra
AC,01/08/2016,4.49,3.52
AC,01/09/2016,4,3.49
AC,01/12/2016,4.06,3.48
AC,02/11/2016,4.46,3.68
AC,03/08/2016,3.99,3.41
AC,03/10/2016,4.46,3.63
AC,03/11/2016,4.06,3.53
AC,04/07/2016,4.48,3.6
AC,05/09/2016,4.47,3.63
AC,05/12/2016,4.45,3.66
AC,06/10/2016,4.09,3.49
AC,06/12/2016,4.08,NA
AC,07/07/2016,4,3.41
AC,08/08/2016,4.49,3.52
AC,08/09/2016,4,3.49
AC,08/11/2016,4.28,3.62
AC,08/12/2016,4.08,3.52
AC,09/11/2016,4.07,3.6
AC,10/10/2016,4.48,NA
AC,10/11/2016,4.07,3.53
AC,11/07/2016,4.48,3.6
AC,11/08/2016,4,3.43
AC,11/10/2016,4.19,3.53
AC,12/12/2016,4.48,3.66
AC,13/09/2016,4.46,3.67
AC,14/07/2016,4,3.42
AC,15/09/2016,4,3.5
AC,15/11/2016,4.47,3.72
AC,15/12/2016,4.16,3.57
AC,16/08/2016,4.47,3.64
AC,17/08/2016,3.99,3.45
AC,17/10/2016,4.48,NA
AC,17/11/2016,4.07,3.55
AC,18/07/2016,4.48,3.62
AC,18/08/2016,3.96,3.41
AC,18/10/2016,4.46,3.7
AC,19/10/2016,4.06,3.52
AC,19/12/2016,4.53,3.78
AC,20/09/2016,4.16,3.54
AC,20/12/2016,4.17,3.6
AC,21/07/2016,3.99,3.41
AC,21/12/2016,4.2,3.66
AC,23/08/2016,4.47,3.64
AC,23/11/2016,4.47,3.69
AC,24/11/2016,4.08,3.51
AC,25/07/2016,4.48,3.62
AC,25/08/2016,4,3.49
AC,26/09/2016,4.46,3.63
AC,26/10/2016,4.19,3.55
AC,26/12/2016,4.53,3.78
AC,27/12/2016,4.16,3.58
AC,28/07/2016,4,3.41
AC,28/09/2016,4.06,3.5
AC,29/08/2016,4.47,3.63
AC,30/11/2016,4.47,3.69
AL,01/08/2016,3.7,NA
AL,01/11/2016,3.86,3.27
AL,01/12/2016,3.65,3.14
AL,02/08/2016,3.89,3.29
AL,02/11/2016,3.87,3.31
AL,03/08/2016,3.56,3.21
AL,04/07/2016,3.66,3.27
AL,04/08/2016,3.74,3.26
AL,04/10/2016,3.82,3.29
AL,05/07/2016,3.85,3.28
AL,05/09/2016,3.75,3.22
AL,05/10/2016,3.77,3.27
AL,05/12/2016,3.93,3.3
AL,06/07/2016,3.74,3.3
AL,06/09/2016,3.88,3.28
AL,06/10/2016,3.86,3.3
AL,06/12/2016,3.71,3.24
AL,07/09/2016,3.72,NA
AL,07/11/2016,3.82,3.25
AL,07/12/2016,3.68,3.23
AL,08/08/2016,3.7,NA
AL,08/09/2016,3.78,3.27
AL,08/11/2016,3.83,3.35
AL,09/08/2016,3.87,3.27
AL,09/11/2016,3.92,3.29
AL,10/08/2016,3.65,3.21
AL,10/10/2016,3.82,3.28
AL,10/11/2016,3.79,3.27
AL,11/07/2016,3.69,3.29
AL,11/08/2016,3.67,3.23
AL,11/10/2016,3.85,3.26
AL,12/07/2016,3.85,3.28
AL,12/12/2016,3.81,3.29
AL,13/09/2016,3.81,3.29
AL,13/10/2016,3.75,NA
AL,13/12/2016,3.79,3.24
AL,14/09/2016,3.88,3.27
AL,14/11/2016,3.79,3.24
AL,14/12/2016,3.68,3.23
AL,15/08/2016,3.84,3.24
AL,15/09/2016,3.8,3.25
AL,15/11/2016,3.82,3.35
AL,15/12/2016,3.49,NA
AL,16/08/2016,3.8,3.32
AL,16/11/2016,3.92,3.29
AL,17/08/2016,3.86,3.28
AL,17/10/2016,3.81,3.27
AL,17/11/2016,3.72,3.25
AL,18/07/2016,3.87,3.26
AL,18/10/2016,3.91,3.26
AL,19/07/2016,3.86,3.23
AL,19/10/2016,3.74,3.25
AL,19/12/2016,3.84,3.3
AL,20/07/2016,3.61,3.3
AL,20/09/2016,3.82,3.29
AL,20/12/2016,3.76,3.28
AL,21/09/2016,3.84,3.28
AL,21/12/2016,3.7,3.14
AL,22/08/2016,3.8,3.26
AL,22/09/2016,3.91,NA
AL,22/11/2016,3.84,3.26
AL,23/08/2016,4.09,NA
AL,23/11/2016,3.78,3.26
AL,24/08/2016,3.86,3.28
AL,24/10/2016,3.8,3.24
AL,24/11/2016,3.75,3.17
AL,25/07/2016,3.87,3.26
AL,25/10/2016,3.87,3.27
AL,26/07/2016,3.76,3.23
AL,26/10/2016,3.82,3.27
AL,26/12/2016,3.78,3.29
AL,27/07/2016,3.69,3.27
AL,27/09/2016,3.82,3.28
AL,27/12/2016,3.91,3.28
AL,28/09/2016,3.77,3.28
AL,28/11/2016,3.71,3.23
AL,28/12/2016,3.71,3.17
AL,29/08/2016,3.75,3.22
AL,29/09/2016,3.91,3.26
AL,29/11/2016,3.83,3.26
AL,30/08/2016,3.88,3.28
AL,30/11/2016,3.73,3.22
AL,31/08/2016,3.75,3.22
AL,31/10/2016,3.76,3.23
AM,01/08/2016,3.96,3.23
AM,01/09/2016,3.93,NA
AM,01/11/2016,4.2,3.25
AM,01/12/2016,3.45,3.22
AM,02/08/2016,4.07,3.22
AM,02/11/2016,4.08,3.42
AM,03/10/2016,4.44,3.41
AM,03/11/2016,3.62,3.22
AM,04/07/2016,4.03,3.3
AM,04/08/2016,3.95,3.34
AM,04/10/2016,4.24,3.26
AM,04/11/2016,3.67,3.22
AM,05/07/2016,3.69,3.19
AM,05/09/2016,4,3.32
AM,05/10/2016,3.81,3.32
AM,05/12/2016,3.62,3.25
AM,06/09/2016,4.05,3.31
AM,06/12/2016,3.98,3.21
AM,07/07/2016,3.3,3.2
AM,07/11/2016,4.27,3.41
AM,08/08/2016,3.87,3.28
AM,08/09/2016,3.79,NA
AM,08/11/2016,3.83,3.23
AM,09/08/2016,4.06,3.22
AM,09/11/2016,3.63,3.17
AM,10/10/2016,4.24,3.52
AM,10/11/2016,3.67,3.23
AM,11/07/2016,4.03,3.3
AM,11/08/2016,3.96,3.34
AM,11/10/2016,4.2,3.32
AM,12/07/2016,4.18,3.27
AM,12/09/2016,4.44,3.39
AM,12/12/2016,4.06,3.32
AM,13/07/2016,3.84,3.14
AM,13/09/2016,3.98,3.28
AM,13/10/2016,3.77,3.31
