codigo;latitude;longitude;altitude;temp
83595;-1949;-4108;8274;251
83442;-1683;-4205;289;25
83579;-1961;-4695;102361;211
83384;-1592;-4611;519;248
83582;-2003;-4601;66127;208
83689;-2124;-4378;1126;186
83587;-1993;-4395;915;218
83533;-1972;-4537;695;216
83383;-1562;-4642;600;243
83589;-1902;-4343;652;209
83681;-2192;-4638;1150;182
83639;-2052;-419;84318;196
83514;-1873;-4956;6206;235
83592;-1974;-4214;60965;215
83485;-1753;-43;73638;213
83686;-2197;-4493;95851;202
83613;-195;-4263;210;228
83037;-2157;-4325;435;214
83536;-1875;-4445;672;23
83538;-1824;-4362;129612;187
83635;-2017;-4487;78835;217
83438;-171;-438;633;NA
83338;-1491;-4281;56964;247
83657;-2132;-4637;823;201
83581;-1989;-4442;753;203
83334;-1495;-4624;848;234
83574;-2003;-4893;54367;244
83543;-1885;-4193;148;242
83632;-2002;-4408;81454;211
83488;-1786;-4285;914;201
83521;-1895;-4952;560;239
83395;-158;-433;516;249
83386;-1545;-44;47371;241
83591;-1982;-4314;85984;207
83481;-1774;-4618;76036;236
83692;-2177;-4335;93996;191
83452;-1677;-4367;648;227
83032;-2194;-4532;87845;187
83687;-2175;-45;91884;203
83683;-2168;-4594;87335;201
83015;-2231;-4537;127633;169
83389;-1509;-4402;452;247
83388;-1516;-4287;625;248
83437;-1669;-4384;652;231
83694;-2113;-4233;2708;231
83637;-2068;-4482;9665;NA
83479;-1724;-4688;712;235
83737;-2238;-4497;920;19
83531;-1852;-4644;94028;215
83393;-1601;-4128;64891;225
83483;-1735;-4492;50524;242
83570;-1923;-45;69091;227
83061;-1983;-4263;320;229
83441;-1615;-4229;47132;235
83688;-213;-4427;991;193
83736;-221;-4502;9532;194
83631;-2092;-4712;820;21
83500;-1778;-4025;202;NA
83586;-1949;-4417;732;215
83492;-1785;-4152;35638;238
83527;-1892;-4826;868;223
83428;-1637;-4689;460;243
83594;-1948;-4253;2986;233
83642;-2076;-4286;7122;201
