data;atraso_pf;comprometimento_renda;endividamento_familias;selic
2016-01-01T00:00:00Z;5,98;23,59;40,06;14,15
2016-02-01T00:00:00Z;5,82;23,66;39,70;14,15
2016-03-01T00:00:00Z;6,22;23,95;39,55;14,15
2016-04-01T00:00:00Z;6,11;23,96;39,28;14,15
2016-05-01T00:00:00Z;6,23;24,25;39,22;14,15
2016-06-01T00:00:00Z;5,96;24,28;39,07;14,15
2016-07-01T00:00:00Z;6,16;24,11;38,88;14,15
2016-08-01T00:00:00Z;6,17;24,07;38,78;14,15
2016-09-01T00:00:00Z;6,68;24,13;38,53;14,15
2016-10-01T00:00:00Z;6,69;23,99;38,28;14,05
2016-11-01T00:00:00Z;6,32;23,85;38,31;13,90
2016-12-01T00:00:00Z;5,82;23,49;38,20;13,65
2017-01-01T00:00:00Z;6,30;23,44;38,05;13,17
2017-02-01T00:00:00Z;6,07;23,26;37,92;12,82
2017-03-01T00:00:00Z;6,42;23,19;37,83;12,15
2017-04-01T00:00:00Z;6,55;22,79;37,50;11,59
2017-05-01T00:00:00Z;6,48;22,44;37,42;11,15
2017-06-01T00:00:00Z;6,26;22,34;37,37;10,15
2017-07-01T00:00:00Z;6,36;22,57;37,37;10,01
2017-08-01T00:00:00Z;6,23;22,92;37,41;9,15
2017-09-01T00:00:00Z;6,16;23,07;37,28;8,35
2017-10-01T00:00:00Z;6,47;22,78;37,34;8,01
2017-11-01T00:00:00Z;6,53;22,58;37,42;7,40
2017-12-01T00:00:00Z;6,29;22,36;37,27;7,00
2018-01-01T00:00:00Z;6,31;22,25;37,31;6,90
2018-02-01T00:00:00Z;6,25;22,25;37,29;6,72
2018-03-01T00:00:00Z;6,57;22,34;37,32;6,58
2018-04-01T00:00:00Z;6,63;22,62;37,55;6,40
2018-05-01T00:00:00Z;6,54;22,87;37,84;6,40
2018-06-01T00:00:00Z;6,45;23,08;37,94;6,40
2018-07-01T00:00:00Z;6,52;22,78;37,91;6,40
2018-08-01T00:00:00Z;6,30;22,52;38,09;6,40
2018-09-01T00:00:00Z;6,30;22,56;38,11;6,40
2018-10-01T00:00:00Z;6,56;22,54;38,38;6,40
2018-11-01T00:00:00Z;6,56;22,69;38,85;6,40
2018-12-01T00:00:00Z;6,11;22,99;39,06;6,40
2019-01-01T00:00:00Z;6,13;23,12;39,29;6,40
2019-02-01T00:00:00Z;5,93;23,30;39,55;6,40
2019-03-01T00:00:00Z;6,58;23,33;39,60;6,40
2019-04-01T00:00:00Z;6,41;23,78;39,82;6,40
2019-05-01T00:00:00Z;6,30;24,13;40,12;6,40
2019-06-01T00:00:00Z;6,55;25,24;40,56;6,40
2019-07-01T00:00:00Z;6,53;24,92;40,73;6,40
