Despesa por função - trabalho - empenhada - municipal
Sigla;Código;Município;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
AC;1200013;Acrelândia;0;0;0;0;0;0;0;0;;;;
AC;1200054;Assis Brasil;0;0;0;0;0;0;0;0;;;;
AC;1200104;Brasiléia;0;0;0;0;0;0;0;0;;;;
AC;1200138;Bujari;0;0;0;0;0;;;0;;;;
AC;1200179;Capixaba;0;0;0;0;0;0;0;0;;;;
AC;1200203;Cruzeiro do Sul;0;0;0;0;1176997,96;1155109,7;1336453,09;1577428,9;1895092,41;2039818,77;2473159,99;
AC;1200252;Epitaciolândia;;0;0;0;0;0;0;0;;;;
AC;1200302;Feijó;0;0;0;0;;0;0;0;;;;
AC;1200328;Jordão;0;0;0;0;0;0;0;0;;;;
AC;1200336;Mâncio Lima;0;0;0;0;3902817,84;3148447,8;2354884,9;390282,42;;;;
AC;1200344;Manoel Urbano;0;0;0;0;0;0;0;0;;;;
AC;1200351;Marechal Thaumaturgo;0;0;0;0;0;0;0;0;;;;
AC;1200385;Plácido de Castro;266626,91;238104,97;244385,75;332964,3;0;0;0;0;;;;
AC;1200393;Porto Walter;95236,92;0;0;0;;0;0;0;426224,97;307991,24;366619,33;
AC;1200401;Rio Branco;1546244;1911526,1;2013997,02;1380361,2;1702473,36;1638467,07;2098902,29;898654,74;1257952,88;6699066,55;6778837,11;
AC;1200427;Rodrigues Alves;;0;0;0;0;0;0;0;;;;
AC;1200435;Santa Rosa do Purus;;0;0;0;0;0;0;0;;;;
AC;1200450;Senador Guiomard;0;0;0;0;0;0;0;0;;;;
AC;1200500;Sena Madureira;0;92004,38;640;0;0;0;0;0;;;;
AC;1200609;Tarauacá;152580,1;124634,64;0;0;16583,85;0;0;0;;;;
AC;1200708;Xapuri;0;0;0;0;0;0;0;0;;;;
AC;1200807;Porto Acre;0;259648,28;0;177910,87;0;0;0;0;;;;
AL;2700102;Água Branca;0;0;0;0;0;0;0;0;;;;
AL;2700201;Anadia;0;0;0;0;0;0;0;0;;;;
AL;2700300;Arapiraca;25219412,62;30469535,22;37282985,9;29140087,22;0;0;0;0;;18149,62;382454,18;
AL;2700409;Atalaia;17260,59;0;0;0;440000;0;486858,88;76997,66;701514,25;;;
AL;2700508;Barra de Santo Antônio;87631,88;60273,59;19290,8;0;89300;17600;60588,8;0;;47558,88;34611,84;
AL;2700607;Barra de São Miguel;0;0;0;0;0;0;93749,29;0;407,54;;;
AL;2700706;Batalha;0;0;0;0;0;0;0;0;;;;
AL;2700805;Belém;;;;;;0;0;0;;;;
AL;2700904;Belo Monte;0;0;0;0;0;0;0;0;;;;
AL;2701001;Boca da Mata;0;0;0;0;0;0;0;0;;;;
AL;2701100;Branquinha;0;0;0;0;0;0;0;0;;;;
AL;2701209;Cacimbinhas;0;0;0;0;0;0;0;0;;;;
AL;2701308;Cajueiro;0;0;0;0;0;0;0;0;;;;
AL;2701357;Campestre;0;0;0;0;0;0;0;;;;;
AL;2701407;Campo Alegre;0;0;0;0;431806,34;232685,24;197638,66;0;;;;
AL;2701506;Campo Grande;;;;0;0;0;0;0;;;;
AL;2701605;Canapi;0;0;;0;0;0;0;0;;;;
AL;2701704;Capela;0;0;0;0;0;0;0;0;;;;
AL;2701803;Carneiros;;0;;0;0;0;0;0;;;;
AL;2701902;Chã Preta;0;0;0;0;0;0;0;0;;;;
AL;2702009;Coité do Nóia;0;0;0;0;0;0;0;0;;;;
AL;2702108;Colônia Leopoldina;0;0;0;0;0;0;0;0;;;;
AL;2702207;Coqueiro Seco;0;0;0;0;0;0;0;0;;;;
AL;2702306;Coruripe;0;0;0;0;0;0;0;0;;;;
AL;2702355;Craíbas;0;0;0;0;0;0;0;0;;;;
AL;2702405;Delmiro Gouveia;0;0;0;0;0;0;0;0;;;;
AL;2702504;Dois Riachos;0;0;0;0;0;0;0;0;;;;
AL;2702553;Estrela de Alagoas;0;0;0;0;0;0;0;0;;;;
AL;2702603;Feira Grande;0;0;0;0;0;0;0;;;;;
AL;2702702;Feliz Deserto;0;0;0;0;0;0;0;0;;;;
AL;2702801;Flexeiras;;;;;;0;83200;174344,36;23910,26;8220,48;;
AL;2702900;Girau do Ponciano;0;0;0;0;0;0;0;0;;;;
AL;2703007;Ibateguara;0;0;0;0;0;0;0;0;;;;
AL;2703106;Igaci;0;0;0;0;0;0;0;0;;;;
AL;2703205;Igreja Nova;0;0;0;0;0;0;0;;;;;
AL;2703304;Inhapi;0;0;0;0;0;0;0;0;;;;
AL;2703403;Jacaré dos Homens;0;0;0;0;0;0;0;0;;;;
AL;2703502;Jacuípe;0;0;0;0;0;0;0;0;;;;
AL;2703601;Japaratinga;0;0;;0;0;0;0;0;;;;
AL;2703700;Jaramataia;0;0;;0;0;0;0;0;;;;
AL;2703759;Jequiá da Praia;0;0;0;0;0;0;0;0;;;;
AL;2703809;Joaquim Gomes;0;0;;0;0;0;0;0;;;;
AL;2703908;Jundiá;0;0;0;0;0;0;0;0;;;;
AL;2704005;Junqueiro;;0;0;0;0;0;0;0;;;;
AL;2704104;Lagoa da Canoa;0;0;0;0;0;0;0;0;;;;
AL;2704203;Limoeiro de Anadia;0;0;0;0;0;0;0;0;;;;
AL;2704302;Maceió;6148534,77;7194290,24;6838383,46;5614990,44;194413,28;0;378824,82;0;394972,49;272394,49;10901404,49;
AL;2704401;Major Isidoro;0;0;17268,4;0;0;0;0;0;;;;
AL;2704500;Maragogi;0;0;0;0;317102,37;239420,13;255135,63;362126,44;435996,19;421382;423382,48;
AL;2704609;Maravilha;0;;;0;0;0;0;0;;;;
AL;2704708;Marechal Deodoro;0;0;0;0;0;0;0;0;;;538362,71;
AL;2704807;Maribondo;0;0;0;0;0;0;0;0;;;;
AL;2704906;Mar Vermelho;0;0;0;0;0;0;0;0;;;;
AL;2705002;Mata Grande;0;0;0;0;0;0;0;0;;;;
AL;2705101;Matriz de Camaragibe;0;0;0;0;0;0;0;0;;;;
AL;2705200;Messias;87745,2;68057,15;69174,01;72935,88;96767,07;85859,45;73589,44;321509,3;;;;
AL;2705309;Minador do Negrão;;0;0;0;0;0;0;0;;;;
