Despesa por função - transporte - empenhada - municipal
Sigla;Código;Município;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
AC;1200013;Acrelândia;0;0;0;0;0;0;0;0;;;;
AC;1200054;Assis Brasil;1200;0;0;0;0;0;0;0;;;;
AC;1200104;Brasiléia;5178,8;401120,86;158915,57;0;250500;250300;275000;0;;;;
AC;1200138;Bujari;185000;189459,47;296961,29;358937,1;397068,05;1201050,31;1276860,97;697612,73;2838750,33;1056935,72;1688329,82;
AC;1200179;Capixaba;0;0;0;0;0;0;0;0;;743996,67;;
AC;1200203;Cruzeiro do Sul;4766883,87;2476734,27;2258236,08;1440956,65;181933,73;9208561,49;17489406,38;1675920,97;8780;5242990,92;10978190,41;
AC;1200252;Epitaciolândia;;412073,55;1114841,77;293685,25;449033,91;764878,96;1554107,42;1203324,22;3296775,91;9781973,48;12724437,39;
AC;1200302;Feijó;121350;0;0;0;;0;764061,96;0;;;846847,26;
AC;1200328;Jordão;2635;372600;0;293982;0;0;0;0;;;;
AC;1200336;Mâncio Lima;730902,41;1519241,86;2163156,36;455385,44;1534162,25;1730601,39;4192477,44;4348876,64;5692178,71;4159885,95;5061374,05;
AC;1200344;Manoel Urbano;0;0;0;0;0;0;0;0;;;;
AC;1200351;Marechal Thaumaturgo;256685,17;1008157,82;171283,09;143529,2;0;41794,12;0;0;;;;
AC;1200385;Plácido de Castro;788018,92;545650,02;1038232,33;157386,59;228249,82;582411,73;197,17;1172637,75;2444918,52;3654242,1;869594;
AC;1200393;Porto Walter;7600;478855,47;535181,67;209432,93;;0;0;0;128421,22;;;
AC;1200401;Rio Branco;10892937,25;10570292,89;10986185,61;22235921,07;24507630,58;18135680,88;16059901,07;17483038,63;42634075,05;55002313,96;72111492,48;
AC;1200427;Rodrigues Alves;;340007,28;785200,45;556968,1;848762,03;1537566,19;189785,55;6120855,1;1313375,47;3426348;455965;
AC;1200435;Santa Rosa do Purus;;0;334906,46;0;0;0;0;75131,82;;;;
AC;1200450;Senador Guiomard;336476,77;313456,82;658554,99;930969,9;872783,44;582662,96;352073,46;143850,16;607840,69;246935,52;532303,63;
AC;1200500;Sena Madureira;1866819,49;556779,42;1090624,78;4182936,59;2271100;0;0;0;;;;
AC;1200609;Tarauacá;984400,59;285882,82;2017963,14;182079,34;440408,46;1552898,16;5517738,46;423361,94;;;;
AC;1200708;Xapuri;680075,91;2760985,16;1164947,59;2306441,42;2185735,38;2933526,09;1239688,95;1129540,31;866685,84;753420,99;642271,74;
AC;1200807;Porto Acre;0;46817,6;102182,47;73839,13;0;0;0;0;;;;
AL;2700102;Água Branca;0;0;0;0;0;0;0;0;;;;
AL;2700201;Anadia;0;0;0;0;0;0;22680;0;;;;
AL;2700300;Arapiraca;3064914,21;2079775,68;2312140,24;2189927,02;4259947,62;5865204,55;5890272,39;4020073,24;3652522,64;7189595,17;6131266,33;
AL;2700409;Atalaia;450;7200;0;4405,45;987600;0;94870,67;0;;;1593062,48;
AL;2700508;Barra de Santo Antônio;144593,07;534127,92;342188,87;4800;3337;0;1045;255167,15;190324;72712,8;393367,03;
AL;2700607;Barra de São Miguel;0;0;0;0;0;0;0;0;;;;
AL;2700706;Batalha;0;0;0;0;0;0;0;0;;3108040,6;2118595,25;
AL;2700805;Belém;;;;;;0;0;0;108875,49;171000,19;197122,36;
AL;2700904;Belo Monte;302507,59;302703,06;813265,16;954273,44;1103035,57;1058050,77;1444083,25;1866936,09;1947084,62;2016916,78;1476625,09;
AL;2701001;Boca da Mata;144355,84;196720,34;231923,41;273097,56;482309,85;408170,56;535602,31;595637,9;1084703,88;897741,74;1001744,74;
AL;2701100;Branquinha;104973,46;131936,06;128751,32;88441,86;72196,82;11896,08;67953,3;15379,43;;;;
AL;2701209;Cacimbinhas;31692,5;31145,44;26920;1151182,3;1232310,55;1275532,89;487656,57;1085062,11;1122676,84;2992560,26;5721553,74;
AL;2701308;Cajueiro;0;0;0;13805,13;0;0;0;0;;;;
AL;2701357;Campestre;0;0;0;6008,11;0;405249,98;263660,31;265729,49;;163187,8;;
AL;2701407;Campo Alegre;0;0;0;0;3093360,68;3269636,37;2730377,86;0;;;7338603,74;
AL;2701506;Campo Grande;;;;9914;1124261,34;1354004,28;1926279,18;981855,82;;2048162,22;1903112,57;
AL;2701605;Canapi;2178698,63;689698,72;;290051,86;329395,04;577500,66;598318,92;340395,57;748145,81;808348,45;454089,25;
AL;2701704;Capela;0;0;0;0;0;0;0;0;;;;
AL;2701803;Carneiros;;1367297,6;;836026,66;1038701,91;888821,17;1087134,24;1239453,58;1825766,21;1993063,11;1995980,14;
AL;2701902;Chã Preta;0;0;0;0;0;0;0;0;;;;
AL;2702009;Coité do Nóia;0;0;0;0;0;0;0;0;;;;
AL;2702108;Colônia Leopoldina;0;0;0;0;0;0;0;0;;;;
AL;2702207;Coqueiro Seco;0;0;1778673,72;422759,82;9135,29;0;0;0;;;;
AL;2702306;Coruripe;3370025,79;5590831,6;7516450,32;7989033,01;10509227,82;12047323,87;13702449,57;7912849,02;3135302,64;5301218,13;5407771,58;
AL;2702355;Craíbas;0;0;0;0;0;0;0;0;;;;
AL;2702405;Delmiro Gouveia;820782,14;749156,97;986054,9;853092,67;964312,16;1329016,08;1388373,21;1165012,12;1548461,51;3516473,33;4341979,75;
AL;2702504;Dois Riachos;106916,32;84060,73;217595,07;614590,65;468437,31;580922,7;931383,44;884247,84;480623,27;5982;;
AL;2702553;Estrela de Alagoas;0;0;0;0;0;0;0;0;;;;
AL;2702603;Feira Grande;332265,15;439205,76;347225,87;30398,87;204927,7;309671,29;538974,62;681297,75;1391313,54;819109,88;;
AL;2702702;Feliz Deserto;0;0;0;0;0;0;0;0;;;;
AL;2702801;Flexeiras;;;;;;0;597169,27;431872,92;350694,08;505774,36;517703,33;
AL;2702900;Girau do Ponciano;90170,19;214393,29;154098,41;393309,59;482894,47;480568,78;509222,85;584882,59;1098578,37;1983128,64;2421013,8;
AL;2703007;Ibateguara;0;0;0;0;0;0;0;76016,66;;;;
AL;2703106;Igaci;0;0;0;0;0;0;0;0;116082,8;96897,52;90741,53;
AL;2703205;Igreja Nova;1851048,44;1471598,34;1812488,92;772388,23;617514,15;626062,99;1274223,48;1304392,01;1193382,62;1941171,2;3236965,58;
AL;2703304;Inhapi;5005123,67;1290918,31;0;956602,73;977555,17;1295371,95;975045,83;3365390,35;8248279,39;9138523,04;8300491,38;
AL;2703403;Jacaré dos Homens;0;0;0;0;0;0;0;0;;;;
AL;2703502;Jacuípe;10000;0;0;197658,9;0;0;0;814421,58;2211648,15;2016385,54;;
AL;2703601;Japaratinga;0;0;;0;0;0;0;0;;33033,5;416853,55;
AL;2703700;Jaramataia;0;0;;47021,28;80865,74;45147,14;49800,96;148875,73;757344,89;2201615,84;343211,62;
AL;2703759;Jequiá da Praia;3600;2700;0;405896,41;19431;100,41;0;0;;626659,52;;
AL;2703809;Joaquim Gomes;1630;0;;0;146664,27;3540;0;0;;;;
AL;2703908;Jundiá;0;0;0;0;0;0;0;0;1419553,64;348872,64;1855483,49;
AL;2704005;Junqueiro;;0;0;0;0;0;4276820,39;2332411,24;4700273,99;3459609,91;3944120,55;
AL;2704104;Lagoa da Canoa;1534295;684590,96;1639243,44;229916,48;1205156,96;396557,26;1178951,37;633338,33;1422700,8;1574655,71;1868222,47;
AL;2704203;Limoeiro de Anadia;0;7880;0;0;0;0;0;0;;;704652,5;
AL;2704302;Maceió;2329169,25;3915609,04;2824597,23;3325179,14;7656765,65;12303911,42;15192788,31;31275408,42;101298157,18;81163622,6;113078498,16;
AL;2704401;Major Isidoro;0;0;0;0;0;0;452104,41;0;827301,53;478801,2;;
AL;2704500;Maragogi;0;0;0;0;0;0;0;0;;;1299807,06;
AL;2704609;Maravilha;0;;;0;0;0;0;0;254852,95;;;
AL;2704708;Marechal Deodoro;589903,59;694466,53;999833,67;1053342,91;1522657,43;1831020,02;1764975,87;1858360,13;2198904,91;2797703,2;5001328,05;
AL;2704807;Maribondo;0;0;0;0;0;0;0;0;;;;
AL;2704906;Mar Vermelho;0;0;14003,22;655396,62;194317,68;0;1161588,49;0;973891,28;96895,61;742421,19;
AL;2705002;Mata Grande;0;0;366522;84161,45;119239,02;0;0;24914,31;68172,3;1910875,58;;
AL;2705101;Matriz de Camaragibe;0;0;0;0;58,54;0;0;0;;;;
AL;2705200;Messias;14527,24;349407,49;1143;2910;0;0;1400;15150;;;;
AL;2705309;Minador do Negrão;;321922,61;389146,67;334807,43;389844,79;235504,06;251051,58;287483,02;284191,05;165552,23;196462,63;
AL;2705408;Monteirópolis;0;0;;0;0;0;0;;;;;
AL;2705507;Murici;4500;14807,3;14941,5;54850;0;19;0;11346,36;941967,24;318586,86;;
AL;2705606;Novo Lino;0;0;9956,5;0;2163;0;0;0;;;599829,82;
AL;2705705;Olho d'Água das Flores;0;0;0;0;0;0;0;0;;;;
AL;2705804;Olho d'Água do Casado;0;0;;0;0;0;0;0;;;;
AL;2705903;Olho d'Água Grande;166231,38;596794,65;453070,57;52437,79;615321,68;454154,94;18302,06;;;;1552173,63;
AL;2706000;Olivença;27386,2;64938;18305,2;2444,67;34310;3660;0;0;944005,13;523815,39;236285;
AL;2706109;Ouro Branco;80385,41;67293,8;14397;0;0;0;0;0;;187814,93;376015,45;
AL;2706208;Palestina;74031,59;7803,4;59547,95;360453,66;282940,44;167530,26;157481,2;513096,51;753574,24;522203;511302,45;
AL;2706307;Palmeira dos Índios;;634578,85;786767,55;533955,1;549410,64;958246,3;556027,17;382440,06;861630,73;1781973,4;510061,36;
AL;2706406;Pão de Açúcar;0;0;0;0;0;0;0;0;;;;
AL;2706422;Pariconha;0;0;0;0;0;0;0;0;;;;
AL;2706448;Paripueira;535582,03;60752;101188;70900;106300;481360,7;1285967,14;544418,92;253206;352744;1993772,84;
AL;2706505;Passo de Camaragibe;0;0;0;0;0;0;0;0;;;;
AL;2706604;Paulo Jacinto;4324;0;0;19690;13863,63;11717;5731,3;29591,01;188819,91;;22763,95;
AL;2706703;Penedo;50839,22;39450,11;495828,12;1340964,14;205862,82;0;2517035,68;2589318,65;2402577,89;2937806,13;2870239,94;
AL;2706802;Piaçabuçu;23902,22;0;5220;0;0;0;0;0;;;;
AL;2706901;Pilar;1560723,76;3865442,9;4572958,62;2692640,8;3621729,53;5346942,57;5217566,3;7809368,83;10380602,4;11040514,45;;
AL;2707008;Pindoba;0;0;0;2400;181434,32;0;48511,06;4870;;448910,92;434321,22;
AL;2707107;Piranhas;0;0;0;6003,6;0;686962,49;2476523,26;267787,3;;303361,86;1435334,91;
AL;2707206;Poço das Trincheiras;1471183,12;1805831,18;1811234,07;1958663,32;2111033,94;2090943,28;2338420,69;1344222,69;1878008,55;2019137,79;1851202,05;
AL;2707305;Porto Calvo;95297,84;250318;0;1187791,17;605274,1;2296115,96;2444829,57;248880;236316,25;1672315,46;157105,33;
AL;2707404;Porto de Pedras;26159;16500;19500;26326,08;34479,23;68009,28;300000;0;;;;
AL;2707503;Porto Real do Colégio;0;0;0;0;0;0;0;116380;1089184,79;312,36;;
AL;2707602;Quebrangulo;0;0;0;0;0;0;0;0;;;;
AL;2707701;Rio Largo;481979,48;713092,15;758326,07;1046944,37;1084746,88;1377602,33;789858,35;2560181,34;2961378,1;5380961,93;5019132,26;
