Despesa por função - urbanismo e habitação - empenhada - municipal
Sigla;Código;Município;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
AC;1200013;Acrelândia;349;0;0;0;0;120000;1144766,28;40953,67;131668,05;599952,69;1749982,99;
AC;1200054;Assis Brasil;65616,24;330337,05;1738757,14;126023,49;1884392,74;2172552,66;4254130,26;2764870,27;9241116,46;11803549,9;12584301,85;
AC;1200104;Brasiléia;3277053,05;2989670,73;941857,59;1732936,9;6554050,65;8327332,05;7008874,71;9035655,98;14982230,67;15496198,34;28545777,41;
AC;1200138;Bujari;833181,45;1184279,84;1766301,27;1020556,15;1951076,66;1351452,86;3628097,71;1534364,86;3206273,26;4703207,31;8579669,43;
AC;1200179;Capixaba;171239,82;8019,38;25306,37;120683,06;0;776772,23;1638489,54;1869195,83;4033990,47;4152355,53;5513397,14;
AC;1200203;Cruzeiro do Sul;7351305,1;6820570,64;10112849,5;11543638,22;3469840,14;191982,48;1102229,22;7521383,35;9067319,1;7206787,17;16627526,54;
AC;1200252;Epitaciolândia;;487100,3;751629,03;730451,37;1915511,11;1437862,92;4407313,06;403564,06;952904,97;1043064,12;2901536,85;
AC;1200302;Feijó;854424,9;942445,28;1189765,38;470255,54;;0;3790733,71;3446638,37;18657981,82;14812048,36;23886301,86;
AC;1200328;Jordão;290592,63;408203,63;21952,4;148513,02;83441,36;260278,75;15497,13;142236,96;2265266,57;2649511,48;5642221,56;
AC;1200336;Mâncio Lima;473799,22;483083,4;1064038,94;314667,23;0;0;0;735450;4108678,11;659920,18;783230,08;
AC;1200344;Manoel Urbano;406771,76;234578,07;282068,96;240869,18;708509,32;3766248,27;4363446,08;4097410,05;6608746,01;2357623,68;4377185,63;
AC;1200351;Marechal Thaumaturgo;860931,62;1896463,65;2066382,34;2545687,73;1098845,87;2414971,47;28397667,39;4842646,39;275606,88;1997110,57;4395083,9;
AC;1200385;Plácido de Castro;1000408,42;523762;1139003,27;316278,46;624409,94;618829,84;4669401,1;821428,28;8392710,13;2128710,04;10472748,71;
AC;1200393;Porto Walter;2338420,2;1265923,7;1351764,32;2659088,35;;3393535,29;3896781,49;3821292,56;5729972,26;3181292,97;4194528,52;
AC;1200401;Rio Branco;182757507,02;190809123,65;213923877,55;178685894,06;190168035,15;187726445,69;279551455,98;161713220,56;247145339,69;316638599,86;484434228,03;
AC;1200427;Rodrigues Alves;;0;67450,91;285774,74;917515,56;2831378,18;3568532,56;4823124,84;5423765,58;11480030,02;11342949,58;
AC;1200435;Santa Rosa do Purus;;151720,07;18504;4889;0;0;0;142650,35;2681790,85;1989431,48;3729219,59;
AC;1200450;Senador Guiomard;2763538,13;3000562,86;3178822,95;3039257,4;1335234,07;1498819,71;2932702,87;3194370,84;5524193,87;7185048,15;12154491,7;
AC;1200500;Sena Madureira;1379044,05;2145839,26;1821563,14;2838924,41;2525035,62;8562476,58;11101267,56;8078951,59;28063056,91;28519864,3;29400525,57;
AC;1200609;Tarauacá;5756991,59;6050136,92;7057627,93;5183492,59;7925101,87;8615073,3;9071196,75;10974863,71;16363060,1;12044300,78;22044483,47;
AC;1200708;Xapuri;3397686,65;4317912,75;3509875,81;4344370,52;4768672,53;5284611,84;5905579,77;7521011,31;8626946,87;9844767,05;17560105,75;
AC;1200807;Porto Acre;233603,15;1087716,86;229846,26;1524809,66;1498791,66;3274646,56;3955789,96;2223717,48;;;;
AL;2700102;Água Branca;3376341,13;3665363,41;4534456,66;3141346,54;4175013,4;4342694,82;4961033,6;6110877,27;13490659,71;26471899,67;11741737,22;
AL;2700201;Anadia;3787593,38;1702914,49;2909618,71;4658667,88;5447282,23;3642676,06;7579449,65;9126736,23;7741563,13;16405672,26;15188782,1;
AL;2700300;Arapiraca;26578154,7;43134913,34;57055850,5;21811810,13;34795710,87;48057137,61;87410070,4;65602010,52;110047594,74;127001671,59;238127573,79;
AL;2700409;Atalaia;4948821,02;6782162,88;6412595,93;4603024,83;8177061,25;0;14259845,53;12147040,15;10414577,02;11452496,36;17011198,37;
AL;2700508;Barra de Santo Antônio;2332449,47;2667103,28;2444399,83;2629795,31;4316929,71;3914823,28;6203275,05;4674929,66;14239667,21;7774397,99;22893044,1;
AL;2700607;Barra de São Miguel;4047370,19;5175388,75;5051904,76;5143112,29;3784442,77;7238804,27;8071069,44;9336303,07;12961273,96;28647857,79;38590547,44;
AL;2700706;Batalha;1326770,13;1715084,24;1813134,6;1973069,33;2437219,08;2806756,61;3894004,91;6230975,34;6655741,42;9123290,1;8507168,55;
AL;2700805;Belém;;;;1724941,48;1839468,77;1901229,31;2272533,84;3701254,8;5621161,19;5081257,59;7939910,03;
AL;2700904;Belo Monte;2760691,32;2255859,47;1492595,13;2188383,15;2559442,77;3501719,24;3782630,4;4404883,01;7779286,99;9812732,74;10045253,68;
AL;2701001;Boca da Mata;6482426,61;9717993,7;15824865,6;8523491,38;7577737,94;9159184,8;11704615,32;10906394,42;13887973,85;13051227,79;19012707,53;
AL;2701100;Branquinha;1871852,71;2411176,39;3908135,3;1817552,08;881157,68;944260,49;1106537,22;5783128,88;9450825,43;12691556,9;8516387,27;
AL;2701209;Cacimbinhas;1589555,99;2048647,13;2726950,42;2550892,6;2046077,96;1640439,79;2969373,34;1209451,18;2683886,79;3072199,49;6957166,36;
AL;2701308;Cajueiro;989631,68;1904587,36;8969668,87;2859853,73;2850899,32;2686728,79;4001128,77;4447009,78;6546363,65;4103494,81;6142831,19;
AL;2701357;Campestre;1512874,77;1564965,26;1534960,54;1311872,67;2095209,85;2536682,13;3281020,46;2546421,57;3226174,29;3426910,28;;
AL;2701407;Campo Alegre;10408318,86;9116460,37;7719102,51;9228644,12;1489442,05;5586557,11;5138185,98;0;4852915,86;10010091,2;11055279,3;
AL;2701506;Campo Grande;;;;1081525,57;1695532,91;3193253,48;4163183,17;4301200,58;;5491226,18;12981391,79;
AL;2701605;Canapi;2161325,25;3241398,77;;3571597,44;3354839,92;6048654,49;7099059,74;6492332,48;8426523,54;9395948,25;9000222,73;
AL;2701704;Capela;4077072,95;4334554,77;5776847,6;5303054,48;5657828,96;3993373,27;6586677,93;6530071,39;10804501,48;9738745,63;7279173,36;
AL;2701803;Carneiros;;1321493,92;;1639074,24;2200423,45;2732591,95;4183911,31;4121557,53;9443160,66;10947590,44;6579284,25;
AL;2701902;Chã Preta;959091,05;1518409,4;1344741,6;1209225,28;1195855,84;1641420;3313031,7;2359577,84;4814141,33;5480893,22;9781084,83;
