"code","Latitude","Longitude","Altitude","t.media","t.minima","t.maxima"
82704,-7.6,-72.66666666,170,25.6,20.5,31.8
82915,-9.95,-67.86666666,160,25.1,20.6,31.5
82807,-8.16666666,-70.76666666,190,25.7,21.4,31.7
82989,-9.28333333,-37.9,605.34,23.1,19.2,28.5
82992,-9.45,-36.7,274.9,24.7,20.3,30.5
82990,-9.75,-37.43333333,19.1,27.5,22.5,33.6
82996,-9.18333333,-35.43333333,50.02,26.3,23.1,29.2
82113,-0.96666666,-60.91666666,40,26.6,22.5,32.4
82410,-4.38333333,-70.03333333,65,26,21.6,31.7
82425,-4.08333333,-63.13333333,46,26.8,22.1,32.3
82326,-3.8411111,-62.05527777,32,26.6,22.4,32.1
82610,-6.66666666,-69.86666666,104,26,21,33
82212,-2.53333333,-66.16666666,55.57,26.6,22.7,31.8
82067,0.61,-69.18333333,120,26.1,22,32
82336,-3.13333333,-58.43333333,40,26.9,22.8,32.1
82723,-7.25,-64.83333333,61,26,21.2,32.2
82331,-3.10333333,-60.01638888,61.25,27,23.4,31.9
82533,-5.81666666,-61.3,50,26.7,22.7,32.8
82240,-2.63333333,-56.73333333,29,27.7,24.4,32.4
82106,-0.12499999,-67.06111111,90,26.1,22,32.1
82317,-3.83333333,-64.7,47,26.8,22.5,32.4
82098,-0.05,-51.11666666,14.46,27.1,23.8,31.5
82092,0.9,-52.01666666,163,NA,21.5,30.8
83249,-12.14833333,-38.42555556,130.92,24.5,20.1,30.4
83179,-11.08333333,-43.16666666,401.58,26.5,20.1,33.3
83236,-12.15555555,-45.00777777,439.29,25.2,19.2,32.7
83288,-13.25138888,-43.40527777,439.96,26,20,32.8
83339,-14.06666666,-42.48333333,882.47,22.1,17.5,27.6
83226,-12.66666666,-38.31666666,47.77,24.8,21,29.6
83398,-15.66666666,-38.95,3.87,24.8,20.9,28.6
83498,-17.73916666,-39.25833333,2.88,24.7,21.1,28.6
83408,-14.28333333,-43.76666666,450.18,25.6,19.5,32.4
83192,-11.08333333,-38.51666666,145.31,25.6,20.9,32.1
83286,-13.33222221,-44.61722221,549.57,24.4,18.3,31.6
83222,-12.66666666,-39.08333333,225.87,24,20.5,29.1
83221,-12.1961111,-38.96722221,231.68,24.4,20.3,30
