Municipio_ID;Municipio_Nome;Sigla_UF;Ano;PIB;Populacao;Receita_Corrente;Receita_Capital;Despesa_Total;Despesa_Assistencia_Previdencia;Despesa_Educacao_Cultura;Despesa_Saude_Saneamento;Despesa_Desportes_Lazer;Despesa_Seguranca_Defesa;Despesa_Trabalho;Despesa_Transporte;Despesa_Urbanismo_Habitacao
2200053;Acauã;PI;2014;36802000;6913;13129284,65;1238314,15;12850891,98;612964,40;4949946,93;2853415,84;200,00;0,00;0,00;1067,00;852125,47
2200103;Agricolândia;PI;2014;24521000;5087;10916645,44;891369,79;10551215,31;907260,26;2948944,79;3583317,37;375440,45;0,00;157,90;16310,00;288259,77
2200202;Água Branca;PI;2014;140650000;16944;33405711,79;9707825,91;40531790,41;2434531,47;11773592,73;17838294,53;301885,34;0,00;0,00;608354,62;2133847,80
2200251;Alagoinha do Piauí;PI;2014;39047000;7485;12411581,19;842600,00;12862422,70;571384,86;4828292,08;4173586,06;263315,60;7000,00;122213,27;24663,00;120207,25
2200277;Alegrete do Piauí;PI;2014;29707000;5215;12957141,07;93998,99;11356262,15;661636,72;3825674,60;2488650,42;427546,26;0,00;0,00;1100,00;692799,36
2200301;Alto Longá;PI;2014;68366000;13967;20736102,03;2932883,73;22435176,27;536048,60;10584417,75;5667956,90;529025,47;0,00;0,00;14182,98;223334,12
2200400;Altos;PI;2014;291944000;39625;55685793,26;110100,00;59340526,64;3824109,71;24629479,17;18318896,96;342563,01;0,00;0,00;541295,76;1190633,85
2200459;Alvorada do Gurguéia;PI;2014;56912000;5249;13739856,69;1522119,79;16458102,58;836749,29;7347236,52;4564113,40;60964,32;0,00;0,00;0,00;305927,70
2200509;Amarante;PI;2014;111663000;17305;26104473,32;1934194,78;26465231,77;821193,65;11423061,03;6881994,95;169096,48;0,00;0,00;10538,18;900310,52
2200608;Angical do Piauí;PI;2014;45881000;6697;13424505,12;561729,96;13217526,61;1436701,44;4110091,12;4188565,69;321947,72;0,00;0,00;7800,00;587400,16
2200707;Anísio de Abreu;PI;2014;56216000;9531;15230250,69;43110,00;15296514,70;886949,38;5831521,89;4108491,67;40510,21;0,00;0,00;89443,00;1444187,39
2200806;Antônio Almeida;PI;2014;75748000;3097;10894129,47;0,00;10783283,44;1250630,71;2500721,02;2164341,03;124208,47;0,00;0,00;12036,00;1606958,64
2200905;Aroazes;PI;2014;36358000;5773;11898074,25;362113,29;13217857,94;881041,76;4462839,66;3571835,12;85850,52;0,00;0,00;2775,50;635582,46
2200954;Aroeiras de Itaim;PI;2014;14162000;2460;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2201002;Arraial;PI;2014;26160000;4678;11047553,98;0,00;9566033,01;452887,88;3037292,46;2820846,03;59814,82;0,00;0,00;0,00;323082,34
2201051;Assunção do Piauí;PI;2014;36693000;7667;16337182,65;0,00;15849871,62;655059,79;7530677,86;2814035,61;371340,62;0,00;0,00;0,00;96682,20
2201101;Avelino Lopes;PI;2014;57387000;11390;17644820,33;597055,44;16581335,68;503480,12;6954689,87;3845990,67;5430,00;14000,00;0,00;0,00;1325245,65
2201150;Baixa Grande do Ribeiro;PI;2014;478327000;11123;32301630,17;4391806,61;34298528,54;1607984,58;13249113,50;9178357,79;733514,73;97000,00;0,00;801358,16;3150501,71
2201176;Barra D'Alcântara;PI;2014;24965000;3886;9969036,55;566743,13;9749512,75;521047,33;3407061,24;2699187,74;254084,18;0,00;0,00;0,00;336970,51
2201200;Barras;PI;2014;280195000;45938;71206747,15;1920448,35;70059057,29;2582608,85;33844619,65;20678703,65;691108,78;3385,70;0,00;629259,81;1889195,48
2201309;Barreiras do Piauí;PI;2014;19613000;3283;10517050,20;0,00;9281723,74;517025,15;2929160,39;1916661,64;47371,31;0,00;0,00;83478,26;683273,02
2201408;Barro Duro;PI;2014;49092000;6941;12746971,72;333200,00;12103311,74;980888,57;3902165,09;3412606,36;86795,24;0,00;0,00;18450,00;804124,84
2201507;Batalha;PI;2014;141549000;26277;39909256,15;2525780,57;38830432,85;1373505,86;18553356,48;10565128,08;35596,95;0,00;55703,20;274489,00;2316919,36
2201556;Bela Vista do Piauí;PI;2014;26303000;3902;10202034,62;336103,05;9467532,78;359380,25;3204989,65;2321022,24;82798,96;0,00;0,00;1280,00;356907,95
2201572;Belém do Piauí;PI;2014;19972000;3440;9530597,32;1533664,80;10293693,70;401129,68;4375359,97;2092134,66;56241,31;1358,69;0,00;19590,00;726399,88
2201606;Beneditinos;PI;2014;52945000;10021;17778151,29;2306762,53;18498479,03;708632,80;9001178,79;5325120,23;350908,66;0,00;0,00;0,00;813336,44
2201705;Bertolínia;PI;2014;42060000;5396;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2201739;Betânia do Piauí;PI;2014;32852000;6092;13796120,34;672084,02;12260662,33;415653,67;5149813,17;2526668,27;15665,00;0,00;0,00;32273,18;302554,80
2201770;Boa Hora;PI;2014;38820000;6560;13665094,56;880756,98;14275611,09;557849,99;7794270,49;3264380,14;183313,20;0,00;0,00;10356,62;246588,81
2201804;Bocaina;PI;2014;28734000;4431;10232695,27;953010,92;10533217,87;568014,27;3052417,72;2854640,79;7142,50;0,00;67951,11;81570,00;994270,87
2201903;Bom Jesus;PI;2014;505909000;24092;53890862,51;921193,63;47286060,18;2564166,18;16740305,18;11860808,97;561089,76;18300,77;0,00;147235,00;6342326,70
2201919;Bom Princípio do Piauí;PI;2014;34194000;5474;13960711,73;244800,00;13365706,24;718428,75;5502445,23;2851501,81;56090,95;0,00;0,00;0,00;903692,62
2201929;Bonfim do Piauí;PI;2014;28892000;5531;11008545,04;578945,58;10978545,09;503588,95;4605713,85;2445091,96;73404,05;0,00;0,00;24214,00;1102742,03
2201945;Boqueirão do Piauí;PI;2014;31841000;6359;13046813,78;694955,83;12716417,79;495266,61;5746475,93;2950120,93;83493,20;0,00;0,00;63895,41;877600,04
2201960;Brasileira;PI;2014;41411000;8139;13456298,47;254273,13;13786751,29;1059745,74;5417690,66;3585873,67;0,00;0,00;0,00;322940,00;503379,19
2201988;Brejo do Piauí;PI;2014;24606000;3714;10886143,91;2412203,56;12390015,19;553004,14;4665290,60;4175360,55;253183,23;0,00;0,00;72667,05;200830,84
2202000;Buriti dos Lopes;PI;2014;126396000;19386;36330038,08;1740832,79;34548185,61;2165237,70;15685160,26;9489595,36;3050,00;0,00;0,00;236698,00;1331595,54
2202026;Buriti dos Montes;PI;2014;39858000;8165;15412970,54;253778,01;14659026,07;737177,60;6934296,83;3248789,20;31376,64;0,00;0,00;271501,43;457529,79
2202059;Cabeceiras do Piauí;PI;2014;47766000;10276;17078343,85;167390,18;15683650,61;459543,73;7397719,49;3611397,69;91491,86;0,00;0,00;3000,00;648041,61
2202075;Cajazeiras do Piauí;PI;2014;20207000;3456;10547336,40;120000,00;9951240,63;441479,60;3522034,72;2171694,92;14998,90;0,00;0,00;210,00;764016,42
2202083;Cajueiro da Praia;PI;2014;61758000;7415;14421643,05;20000,00;13480983,92;985461,54;5869526,60;2802665,94;11288,01;0,00;0,00;0,00;0,00
2202091;Caldeirão Grande do Piauí;PI;2014;39360000;5675;12478304,71;546022,93;12102228,40;735495,07;5162036,40;3078511,15;13343,40;0,00;74461,36;0,00;105795,83
2202109;Campinas do Piauí;PI;2014;33240000;5499;11964402,98;1760698,99;12148095,90;528449,40;5029180,86;3234278,15;13167,29;0,00;0,00;150523,66;825856,43
2202117;Campo Alegre do Fidalgo;PI;2014;26811000;4883;12018688,29;3000,00;11580938,40;429086,70;5415751,21;2252876,20;29232,38;0,00;0,00;95425,10;349342,18
2202133;Campo Grande do Piauí;PI;2014;38071000;5775;12276824,42;272961,67;11085494,03;938350,87;4236030,74;2553298,30;45153,15;0,00;0,00;2370,00;651689,28
2202174;Campo Largo do Piauí;PI;2014;32887000;7058;13958801,97;1778910,13;14776430,47;342193,17;7444366,19;3702778,34;65269,16;0,00;0,00;0,00;419484,30
2202208;Campo Maior;PI;2014;438155000;45904;78470968,74;8503753,70;83981018,47;4395918,69;26331173,85;33829399,59;665069,06;0,00;0,00;500125,25;5194534,02
2202251;Canavieira;PI;2014;25123000;3911;11144212,68;0,00;10526900,33;798159,41;3661233,45;2187924,85;117070,40;0,00;0,00;78420,15;606499,13
2202307;Canto do Buriti;PI;2014;160531000;20619;35160206,83;2866465,61;36255635,59;1365548,54;15038008,07;11126241,86;193524,79;0,00;114442,69;63905,50;1953271,93
2202406;Capitão de Campos;PI;2014;59987000;11208;22342756,91;390960,00;19045800,66;1435161,56;9216381,63;4556529,40;0,00;0,00;0,00;74590,00;1249774,99
2202455;Capitão Gervásio Oliveira;PI;2014;23312000;3993;10390431,79;981760,00;9901653,49;379501,96;3350654,44;2601331,02;173874,89;0,00;0,00;0,00;533912,38
2202505;Caracol;PI;2014;59551000;10588;20199328,20;944642,96;23233408,22;827344,77;11592152,35;5203960,00;282579,37;0,00;0,00;0,00;1144006,52
2202539;Caraúbas do Piauí;PI;2014;35383000;5704;12653363,79;744078,02;12007340,94;592318,17;5927612,28;2480304,72;0,00;0,00;0,00;234712,27;279437,90
2202554;Caridade do Piauí;PI;2014;26020000;4974;12892003,59;1135675,87;13023108,30;774162,75;5598809,02;3398046,34;46302,00;0,00;0,00;30603,00;861189,04
