Trimestre;Sexo;Idade;Faixa_Etaria;Cor_Raca;Nivel_Instrucao;Anos_Estudo;Anos_Estudo_Num;Forca_Trabalho;Ocupacao;Posicao_Ocupacao;Ocupacao_Grupo;Horas_Trabalhadas;Grupo_Jornada;Renda;Faixa_Renda;Urbano
T1;Homem;38;25 a 39 anos;Branca;Superior completo;16 anos ou mais de estudo;16;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T1;Homem;68;60 anos ou mais;Branca;Médio completo ou equivalente;12 anos de estudo;12;Pessoas na força de trabalho;Pessoas ocupadas;Conta-própria;Trabalhadores dos serviços, vendedores dos comércios e mercados;20;Até 20h;1412;Até 1 salário mínimo;Urbana
T1;Mulher;67;60 anos ou mais;Branca;Superior completo;16 anos ou mais de estudo;16;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T1;Mulher;78;60 anos ou mais;Parda;Superior completo;16 anos ou mais de estudo;16;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T1;Mulher;82;60 anos ou mais;Branca;Superior completo;14 anos de estudo;14;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T1;Homem;56;40 a 59 anos;Parda;Médio completo ou equivalente;12 anos de estudo;12;Pessoas na força de trabalho;Pessoas ocupadas;Conta-própria;Operadores de instalações e máquinas e montadores;44;41h a 44h;3000;Mais de 2 a 3 salários mínimos;Urbana
T1;Mulher;52;40 a 59 anos;Parda;Médio incompleto ou equivalente;11 anos de estudo;11;Pessoas na força de trabalho;Pessoas ocupadas;Conta-própria;Trabalhadores qualificados, operários e artesões da construção, das artes mecânicas e outros ofícios;10;Até 20h;700;Até 1 salário mínimo;Urbana
T1;Homem;10;Menos de 14 anos;Parda;Fundamental incompleto ou equivalente;4 anos de estudo;4;NA;NA;NA;NA;NA;NA;NA;NA;Urbana
T1;Mulher;68;60 anos ou mais;Preta;Médio completo ou equivalente;12 anos de estudo;12;Pessoas na força de trabalho;Pessoas ocupadas;Militar/estatutário;Técnicos e profissionais de nível médio;32;21h a 40h;3200;Mais de 2 a 3 salários mínimos;Urbana
T1;Homem;49;40 a 59 anos;Branca;Médio completo ou equivalente;12 anos de estudo;12;Pessoas na força de trabalho;Pessoas ocupadas;Conta-própria;Trabalhadores qualificados, operários e artesões da construção, das artes mecânicas e outros ofícios;24;21h a 40h;900;Até 1 salário mínimo;Urbana
T1;Mulher;41;40 a 59 anos;Parda;Superior completo;16 anos ou mais de estudo;16;Pessoas na força de trabalho;Pessoas ocupadas;Privado com carteira;Trabalhadores de apoio administrativo;40;21h a 40h;1412;Até 1 salário mínimo;Urbana
T1;Mulher;50;40 a 59 anos;Parda;Fundamental completo ou equivalente;9 anos de estudo;9;Pessoas na força de trabalho;Pessoas ocupadas;Doméstico com carteira;Ocupações elementares;44;41h a 44h;1412;Até 1 salário mínimo;Urbana
T1;Mulher;21;18 a 24 anos;Parda;Médio completo ou equivalente;12 anos de estudo;12;Pessoas na força de trabalho;Pessoas desocupadas;NA;NA;NA;NA;NA;NA;Urbana
T1;Mulher;4;Menos de 14 anos;Parda;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urbana
T1;Mulher;65;60 anos ou mais;Branca;Superior completo;16 anos ou mais de estudo;16;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T1;Mulher;90;60 anos ou mais;Branca;Médio completo ou equivalente;13 anos de estudo;13;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T1;Homem;64;60 anos ou mais;Branca;Médio completo ou equivalente;12 anos de estudo;12;Pessoas na força de trabalho;Pessoas ocupadas;Conta-própria;Trabalhadores dos serviços, vendedores dos comércios e mercados;35;21h a 40h;900;Até 1 salário mínimo;Urbana
T1;Mulher;34;25 a 39 anos;Parda;Fundamental incompleto ou equivalente;6 anos de estudo;6;Pessoas na força de trabalho;Pessoas ocupadas;Doméstico sem carteira;Ocupações elementares;36;21h a 40h;500;Até 1 salário mínimo;Urbana
T1;Homem;15;14 a 17 anos;Parda;Fundamental completo ou equivalente;9 anos de estudo;9;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T1;Homem;14;14 a 17 anos;Parda;Fundamental incompleto ou equivalente;7 anos de estudo;7;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T1;Homem;51;40 a 59 anos;Parda;Médio completo ou equivalente;12 anos de estudo;12;Pessoas na força de trabalho;Pessoas ocupadas;Conta-própria;Trabalhadores dos serviços, vendedores dos comércios e mercados;44;41h a 44h;2000;Mais de 1 a 2 salários mínimos;Urbana
T1;Mulher;71;60 anos ou mais;Parda;Fundamental completo ou equivalente;9 anos de estudo;9;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T1;Homem;36;25 a 39 anos;Parda;Superior completo;16 anos ou mais de estudo;16;Pessoas na força de trabalho;Pessoas ocupadas;Privado sem carteira;Profissionais das ciências e intelectuais;40;21h a 40h;5700;Mais de 4 a 5 salários mínimos;Urbana
T1;Mulher;31;25 a 39 anos;Parda;Médio completo ou equivalente;12 anos de estudo;12;Pessoas na força de trabalho;Pessoas ocupadas;Privado com carteira;Ocupações elementares;40;21h a 40h;1412;Até 1 salário mínimo;Urbana
T1;Mulher;65;60 anos ou mais;Parda;Superior completo;15 anos de estudo;15;Pessoas na força de trabalho;Pessoas ocupadas;Militar/estatutário;Técnicos e profissionais de nível médio;40;21h a 40h;2800;Mais de 1 a 2 salários mínimos;Urbana
T1;Homem;31;25 a 39 anos;Parda;Médio completo ou equivalente;12 anos de estudo;12;Pessoas na força de trabalho;Pessoas desocupadas;NA;NA;NA;NA;NA;NA;Urbana
T1;Mulher;58;40 a 59 anos;Parda;Médio completo ou equivalente;12 anos de estudo;12;Pessoas na força de trabalho;Pessoas ocupadas;Doméstico sem carteira;Trabalhadores dos serviços, vendedores dos comércios e mercados;48;Acima de 44h;1412;Até 1 salário mínimo;Urbana
T1;Homem;35;25 a 39 anos;Parda;Médio completo ou equivalente;12 anos de estudo;12;Pessoas na força de trabalho;Pessoas ocupadas;Conta-própria;Operadores de instalações e máquinas e montadores;40;21h a 40h;1800;Mais de 1 a 2 salários mínimos;Urbana
T1;Mulher;29;25 a 39 anos;Parda;Médio completo ou equivalente;12 anos de estudo;12;Pessoas na força de trabalho;Pessoas ocupadas;Doméstico sem carteira;Ocupações elementares;20;Até 20h;1000;Até 1 salário mínimo;Urbana
T1;Mulher;2;Menos de 14 anos;Parda;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urbana
T1;Homem;53;40 a 59 anos;Parda;Médio completo ou equivalente;12 anos de estudo;12;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T1;Homem;52;40 a 59 anos;Preta;Médio completo ou equivalente;12 anos de estudo;12;Pessoas na força de trabalho;Pessoas ocupadas;Militar/estatutário;Operadores de instalações e máquinas e montadores;40;21h a 40h;3500;Mais de 2 a 3 salários mínimos;Urbana
T1;Mulher;44;40 a 59 anos;Branca;Médio completo ou equivalente;12 anos de estudo;12;Pessoas na força de trabalho;Pessoas ocupadas;Privado com carteira;Técnicos e profissionais de nível médio;30;21h a 40h;1412;Até 1 salário mínimo;Urbana
T1;Homem;21;18 a 24 anos;Branca;Superior incompleto ou equivalente;13 anos de estudo;13;Pessoas na força de trabalho;Pessoas ocupadas;Público sem carteira;Técnicos e profissionais de nível médio;40;21h a 40h;1500;Mais de 1 a 2 salários mínimos;Urbana
T1;Homem;19;18 a 24 anos;Branca;Médio incompleto ou equivalente;11 anos de estudo;11;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T1;Mulher;1;Menos de 14 anos;Branca;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urbana
T1;Mulher;53;40 a 59 anos;Branca;Superior completo;16 anos ou mais de estudo;16;Pessoas na força de trabalho;Pessoas ocupadas;Privado com carteira;Profissionais das ciências e intelectuais;44;41h a 44h;6500;Mais de 4 a 5 salários mínimos;Urbana
T1;Mulher;29;25 a 39 anos;Branca;Superior completo;16 anos ou mais de estudo;16;Pessoas na força de trabalho;Pessoas desocupadas;NA;NA;NA;NA;NA;NA;Urbana
T1;Homem;29;25 a 39 anos;Branca;Superior completo;16 anos ou mais de estudo;16;Pessoas na força de trabalho;Pessoas ocupadas;Empregador;Profissionais das ciências e intelectuais;44;41h a 44h;3200;Mais de 2 a 3 salários mínimos;Urbana
T1;Mulher;26;25 a 39 anos;Branca;Superior completo;16 anos ou mais de estudo;16;Pessoas na força de trabalho;Pessoas ocupadas;Privado sem carteira;Profissionais das ciências e intelectuais;20;Até 20h;600;Até 1 salário mínimo;Urbana
T1;Homem;90;60 anos ou mais;Parda;Médio completo ou equivalente;12 anos de estudo;12;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T1;Mulher;88;60 anos ou mais;Branca;Fundamental completo ou equivalente;9 anos de estudo;9;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T1;Mulher;67;60 anos ou mais;Parda;Médio completo ou equivalente;12 anos de estudo;12;Pessoas na força de trabalho;Pessoas ocupadas;Militar/estatutário;Técnicos e profissionais de nível médio;30;21h a 40h;2824;Mais de 1 a 2 salários mínimos;Urbana
T1;Mulher;39;25 a 39 anos;Parda;Superior completo;16 anos ou mais de estudo;16;Pessoas na força de trabalho;Pessoas desocupadas;NA;NA;NA;NA;NA;NA;Urbana
T1;Homem;38;25 a 39 anos;Parda;Superior incompleto ou equivalente;14 anos de estudo;14;Pessoas na força de trabalho;Pessoas ocupadas;Privado com carteira;Trabalhadores dos serviços, vendedores dos comércios e mercados;44;41h a 44h;2800;Mais de 1 a 2 salários mínimos;Urbana
T1;Mulher;19;18 a 24 anos;Parda;Superior incompleto ou equivalente;13 anos de estudo;13;Pessoas na força de trabalho;Pessoas ocupadas;Privado com carteira;Trabalhadores de apoio administrativo;44;41h a 44h;1412;Até 1 salário mínimo;Urbana
T1;Mulher;10;Menos de 14 anos;Parda;Fundamental incompleto ou equivalente;3 anos de estudo;3;NA;NA;NA;NA;NA;NA;NA;NA;Urbana
